884,"Условный кусок","усл. кус",,"УСЛ КУС"
885,"Тысяча условных кусков","10^3 усл. кус",,"ТЫС УСЛ КУС"
886,"Миллион условных кусков","10^6 усл. кус",,"МЛН УСЛ КУС"
887,"Условный ящик","усл. ящ",,"УСЛ ЯЩ"
888,"Тысяча условных ящиков","10^3 усл. ящ",,"ТЫС УСЛ ЯЩ"
889,"Условная катушка","усл. кат",,"УСЛ КАТ"
890,"Тысяча условных катушек","10^3 усл. кат",,"ТЫС УСЛ КАТ"
891,"Условная плитка","усл. плит",,"УСЛ ПЛИТ"
892,"Тысяча условных плиток","10^3 усл. плит",,"ТЫС УСЛ ПЛИТ"
893,"Условный кирпич","усл. кирп",,"УСЛ КИРП"
894,"Тысяча условных кирпичей","10^3 усл. кирп",,"ТЫС УСЛ КИРП"
895,"Миллион условных кирпичей","10^6 усл. кирп",,"МЛН УСЛ КИРП"
896,Семья,семей,,СЕМЕЙ
897,"Тысяча семей","10^3 семей",,"ТЫС СЕМЕЙ"
898,"Миллион семей","10^6 семей",,"МЛН СЕМЕЙ"
899,Домохозяйство,домхоз,,ДОМХОЗ
900,"Тысяча домохозяйств","10^3 домхоз",,"ТЫС ДОМХОЗ"
901,"Миллион домохозяйств","10^6 домхоз",,"МЛН ДОМХОЗ"
902,"Ученическое место","учен. мест",,"УЧЕН МЕСТ"
903,"Тысяча ученических мест","10^3 учен. мест",,"ТЫС УЧЕН МЕСТ"
904,"Рабочее место","раб. мест",,"РАБ МЕСТ"
905,"Тысяча рабочих мест","10^3 раб. мест",,"ТЫС РАБ МЕСТ"
906,"Посадочное место","посад. мест",,"ПОСАД МЕСТ"
907,"Тысяча посадочных мест","10^3 посад. мест",,"ТЫС ПОСАД МЕСТ"
908,Номер,ном,,НОМ
909,Квартира,кварт,,КВАРТ
910,"Тысяча квартир","10^3 кварт",,"ТЫС КВАРТ"
911,Койка,коек,,КОЕК
912,"Тысяча коек","10^3 коек",,"ТЫС КОЕК"
913,"Том книжного фонда","том книжн. фонд",,"ТОМ КНИЖН ФОНД"
914,"Тысяча томов книжного фонда","10^3 том. книжн. фонд",,"ТЫС ТОМ КНИЖН ФОНД"
915,"Условный ремонт","усл. рем",,"УСЛ РЕМ"
916,"Условный ремонт в год","усл. рем/год",,"УСЛ РЕМ/ГОД"
917,Смена,смен,,СМЕН
918,"Лист авторский","л. авт",,"ЛИСТ АВТ"
920,"Лист печатный","л. печ",,"ЛИСТ ПЕЧ"
921,"Лист учетно-издательский","л. уч.-изд",,"ЛИСТ УЧ.ИЗД"
922,Знак,знак,,ЗНАК
923,Слово,слово,,СЛОВО
924,Символ,символ,,СИМВОЛ
925,"Условная труба","усл. труб",,"УСЛ ТРУБ"
930,"Тысяча пластин","10^3 пласт",,"ТЫС ПЛАСТ"
937,"Миллион доз","10^6 доз",,"МЛН ДОЗ"
949,"Миллион листов-оттисков","10^6 лист.оттиск",,"МЛН ЛИСТ.ОТТИСК"
950,Вагоно(машино)-день,"ваг (маш).дн",,"ВАГ (МАШ).ДН"
951,"Тысяча вагоно-(машино)-часов","10^3 ваг (маш).ч",,"ТЫС ВАГ (МАШ).Ч"
952,"Тысяча вагоно-(машино)-километров","10^3 ваг (маш).км",,"ТЫС ВАГ (МАШ).КМ"
953,"Тысяча место-километров","10 ^3мест.км",,"ТЫС МЕСТ.КМ"
954,Вагоно-сутки,ваг.сут,,ВАГ.СУТ
955,"Тысяча поездо-часов","10^3 поезд.ч",,"ТЫС ПОЕЗД.Ч"
956,"Тысяча поездо-километров","10^3 поезд.км",,"ТЫС ПОЕЗД.КМ"
957,"Тысяча тонно-миль","10^3 т.миль",,"ТЫС Т.МИЛЬ"
958,"Тысяча пассажиро-миль","10^3 пасс.миль",,"ТЫС ПАСС.МИЛЬ"
959,Автомобиле-день,автомоб.дн,,АВТОМОБ.ДН
960,"Тысяча автомобиле-тонно-дней","10^3 автомоб.т.дн",,"ТЫС АВТОМОБ.Т.ДН"
961,"Тысяча автомобиле-часов","10^3 автомоб.ч",,"ТЫС АВТОМОБ.Ч"
962,"Тысяча автомобиле-место-дней","10^3 автомоб.мест. дн",,"ТЫС АВТОМОБ.МЕСТ. ДН"
963,"Приведенный час",привед.ч,,ПРИВЕД.Ч
964,Самолето-километр,самолет.км,,САМОЛЕТ.КМ
965,"Тысяча километров","10^3 км",,"ТЫС КМ"
966,"Тысяча тоннаже-рейсов","10^3 тоннаж. рейс",,"ТЫС ТОННАЖ. РЕЙС"
967,"Миллион тонно-миль","10^6 т. миль",,"МЛН Т. МИЛЬ"
968,"Миллион пассажиро-миль","10^6 пасс. миль",,"МЛН ПАСС. МИЛЬ"
969,"Миллион тоннаже-миль","10^6 тоннаж. миль",,"МЛН ТОННАЖ. МИЛЬ"
970,"Миллион пассажиро-место-миль","10^6 пасс. мест. миль",,"МЛН ПАСС. МЕСТ. МИЛЬ"
971,Кормо-день,"корм. дн",,"КОРМ. ДН"
972,"Центнер кормовых единиц","ц корм ед",,"Ц КОРМ ЕД"
973,"Тысяча автомобиле-километров","10^3 автомоб. км",,"ТЫС АВТОМОБ. КМ"
974,"Тысяча тоннаже-сут","10^3 тоннаж. сут",,"ТЫС ТОННАЖ. СУТ"
975,Суго-сутки,"суго. сут.",,"СУГО. СУТ"
976,"Штук в 20-футовом эквиваленте (ДФЭ)","штук в 20-футовом эквиваленте",,"ШТ В 20 ФУТ ЭКВИВ"
977,Канало-километр,"канал. км",,"КАНАЛ. КМ"
978,Канало-концы,"канал. конц",,"КАНАЛ. КОНЦ"
979,"Тысяча экземпляров","10^3 экз",,"ТЫС ЭКЗ"
980,"Тысяча долларов","10^3 доллар",,"ТЫС ДОЛЛАР"
981,"Тысяча тонн кормовых единиц","10^3 корм ед",,"ТЫС Т КОРМ ЕД"
982,"Миллион тонн кормовых единиц","10^6 корм ед",,"МЛН Т КОРМ ЕД"
983,Судо-сутки,суд.сут,,СУД.СУТ
